n,heapsort.ticks
150000,3658518
180000,4396941
210000,5117809
240000,6093371
270000,6862230
300000,7620266
330000,8052359
360000,8790566
390000,9904692
420000,10258053
450000,11431262
480000,12201945
510000,12453282
540000,13724005
570000,13915223
600000,15246341
630000,15994147
660000,16773300
690000,17527259
720000,17572163
750000,19067339
780000,19810061
810000,20583013
840000,21327476
870000,21232737
900000,21975793
930000,23632318
960000,24379979
990000,25161749
1020000,25921410
1050000,26663112
1080000,27432506
1110000,28194792
1140000,28954358
1170000,29735137
1200000,30489379
1230000,30023502
1260000,30751153
1290000,31468977
1320000,32213123
1350000,34310038
1380000,33684685
1410000,35826761
1440000,36584386
1470000,37342387